epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2650.96,1.62938,3.12812,2.2151,0.37227,0.24881,0.18113,0.06898,2.11179,3.81233,2.93023,0.0001882,0.0001882,0.0001882
43,2713.3,1.46574,2.99914,2.15474,0.37813,0.27138,0.22666,0.08812,2.04154,3.74265,2.89494,0.0001684,0.0001684,0.0001684
44,2775.13,1.39965,2.92419,2.09394,0.38561,0.29048,0.22127,0.08419,2.02398,3.7389,2.89188,0.0001486,0.0001486,0.0001486
45,2837.01,1.42639,2.91325,2.09413,0.38712,0.29048,0.23757,0.0947,2.0068,3.78474,2.8735,0.0001288,0.0001288,0.0001288
46,2899.07,1.38149,2.88218,2.12045,0.34128,0.29048,0.21156,0.09187,2.02886,3.79739,2.90608,0.000109,0.000109,0.000109
47,2960.92,1.52683,2.82973,2.13898,0.38521,0.2218,0.20854,0.09591,2.03305,3.79466,2.90265,8.92e-05,8.92e-05,8.92e-05
48,3022.91,1.4716,2.82069,2.12388,0.35221,0.24624,0.21933,0.09253,2.09572,3.80389,2.94039,6.94e-05,6.94e-05,6.94e-05
49,3084.93,1.28864,2.64497,1.99166,0.3458,0.25714,0.21119,0.09322,2.11258,3.83449,2.94389,4.96e-05,4.96e-05,4.96e-05
50,3146.88,1.32837,2.7725,2.01551,0.31986,0.22381,0.20911,0.09182,2.11785,3.8285,2.9381,2.98e-05,2.98e-05,2.98e-05
1,68.9759,1.97222,4.01162,2.45169,0.00318,0.80754,0.0865,0.03131,1.91963,5.00331,3.02678,0.00015,0.00015,0.00015
2,132.06,1.77458,3.84923,2.25074,0.00484,0.86746,0.14477,0.03695,1.97109,4.95061,2.92509,0.000306931,0.000306931,0.000306931
3,194.176,1.66269,3.75554,2.0746,0.00415,0.71706,0.09737,0.04982,2.59118,5.33863,3.17838,0.000460694,0.000460694,0.000460694
4,256.445,1.70081,3.58816,2.03593,0.00345,0.74048,0.02561,0.00574,2.93965,5.20441,3.53603,0.000611289,0.000611289,0.000611289
5,318.357,1.63403,3.53389,1.99531,0.00282,0.5369,0.07474,0.02329,3.07563,5.28745,3.80765,0.000758716,0.000758716,0.000758716
6,380.578,1.65195,3.516,2.05519,0.00262,0.77421,0.06004,0.02218,2.52702,4.80703,3.64626,0.000902975,0.000902975,0.000902975
7,442.569,1.63508,3.35071,2.05811,0.36883,0.19881,0.0381,0.01296,2.31781,5.28928,3.49649,0.0009406,0.0009406,0.0009406
8,504.585,1.71272,3.38455,2.08686,0.73814,0.04167,0.04165,0.00994,2.53743,5.3482,3.47413,0.0009307,0.0009307,0.0009307
9,566.57,1.692,3.33011,2.07981,0.43996,0.10833,0.09331,0.02579,2.38308,4.86975,3.57525,0.0009208,0.0009208,0.0009208
10,628.142,1.71801,3.29648,2.04228,0.90604,0.03635,0.04194,0.01157,2.84146,4.82391,4.14958,0.0009109,0.0009109,0.0009109
11,689.873,1.70287,3.28103,2.09485,0.74464,0.03898,0.03472,0.01175,3.17525,5.06828,3.63004,0.000901,0.000901,0.000901
12,751.93,1.66443,3.16536,2.02605,0.02048,0.26944,0.01773,0.00594,3.14844,4.78752,3.74321,0.0008911,0.0008911,0.0008911
13,813.534,1.6998,3.25507,2.05992,0.18853,0.10833,0.0859,0.0207,2.64533,4.58625,3.25428,0.0008812,0.0008812,0.0008812
14,875.545,1.73335,3.16713,2.06067,0.62233,0.04167,0.08579,0.02496,2.64162,4.51557,3.39976,0.0008713,0.0008713,0.0008713
15,937.514,1.60864,3.15129,1.97693,0.01764,0.10714,0.01693,0.00557,2.56682,5.23512,3.25054,0.0008614,0.0008614,0.0008614
16,999.147,1.71342,3.28565,2.09268,0.22791,0.05159,0.04665,0.02187,1.94134,4.6283,2.8294,0.0008515,0.0008515,0.0008515
17,1060.97,1.71752,3.14292,2.04118,0.48139,0.09325,0.10479,0.03409,1.98603,4.32708,2.81609,0.0008416,0.0008416,0.0008416
18,1124.05,1.66691,2.96078,2.04365,0.13841,0.23492,0.14533,0.05145,2.19968,4.06346,3.04595,0.0008317,0.0008317,0.0008317
19,1186.32,1.67264,3.06154,2.005,0.36254,0.39247,0.28259,0.08984,2.31424,3.95286,3.0537,0.0008218,0.0008218,0.0008218
20,1248.13,1.72304,3.14382,2.02479,0.43062,0.43333,0.19007,0.05685,2.2791,3.9153,3.21936,0.0008119,0.0008119,0.0008119
21,1310.7,1.69659,3.1252,2.03136,0.31435,0.25159,0.14247,0.0387,2.32596,3.97629,3.30409,0.000802,0.000802,0.000802
22,1373.24,1.63153,2.97822,1.95567,0.58238,0.14881,0.0956,0.03013,2.29347,4.41062,3.40476,0.0007921,0.0007921,0.0007921
23,1435.73,1.54792,2.98138,1.99623,0.71847,0.14881,0.106,0.04154,2.06746,4.66025,3.04618,0.0007822,0.0007822,0.0007822
24,1497.7,1.57986,2.86443,1.95683,0.22069,0.23214,0.13585,0.05392,1.99662,5.26058,2.95181,0.0007723,0.0007723,0.0007723
25,1559.19,1.60184,2.93596,1.99302,0.83806,0.10714,0.2131,0.08242,1.94657,4.07623,2.87977,0.0007624,0.0007624,0.0007624
26,1620.87,1.54584,2.95073,1.92515,0.24063,0.1417,0.16291,0.0694,1.9569,3.68554,2.89598,0.0007525,0.0007525,0.0007525
27,1683.33,1.63634,2.85916,1.99578,0.28068,0.14048,0.18774,0.06987,2.25004,3.74304,3.08264,0.0007426,0.0007426,0.0007426
28,1745.45,1.55043,2.80825,1.94432,0.23747,0.1811,0.14341,0.06983,2.06328,3.89816,3.01424,0.0007327,0.0007327,0.0007327
29,1806.98,1.54859,2.77578,1.92628,0.48434,0.21429,0.17195,0.08842,2.05834,3.98213,2.96011,0.0007228,0.0007228,0.0007228
30,1868.77,1.54379,2.75542,1.94657,0.64497,0.1913,0.25134,0.09471,2.38845,3.82095,3.19723,0.0007129,0.0007129,0.0007129
31,1930.44,1.55509,2.73699,1.91696,0.27541,0.46825,0.32749,0.09701,2.19242,3.85428,3.09668,0.000703,0.000703,0.000703
32,1991.82,1.49219,2.66902,1.88768,0.24855,0.30159,0.28829,0.10886,2.05818,3.81749,3.11435,0.0006931,0.0006931,0.0006931
33,2053.31,1.48667,2.65669,1.88566,0.51385,0.17659,0.25312,0.10923,2.09093,3.77221,3.24992,0.0006832,0.0006832,0.0006832
